nodes_x,nodes_y,E,nu,v1,v2,smoothing_pow,convergence_factor,actual_convergence
32,32,.1,.2,1,1,.82827934705871161397,1.159127000033598,0.7232538485275342
256,256,.1,.2,1,1,.82827934705871161397,1.159127000033598,0.725666265754819
32,32,.1,.4,1,1,.84920754706769769623,1.0313155545553276,0.7529746697536601
256,256,.1,.4,1,1,.84920754706769769623,1.0313155545553276,0.7549145764124426
32,32,.1,.6,1,1,.86557086203926350611,1.2900854497316914,0.7764849310937422
256,256,.1,.6,1,1,.86557086203926350611,1.2900854497316914,0.7781051926157592
32,32,.1,.8,1,1,.87872062836489511124,1.5489046546774161,0.7955537731640528
256,256,.1,.8,1,1,.87872062836489511124,1.5489046546774161,0.7971989383885556
32,32,.3,.2,1,1,.60805959253518527969,0.5878586342322445,0.4492103151679992
256,256,.3,.2,1,1,.60805959253518527969,0.5878586342322445,0.44795080934093917
32,32,.3,.4,1,1,.64680094779150473197,0.6135552371596824,0.49260388969999713
256,256,.3,.4,1,1,.64680094779150473197,0.6135552371596824,0.49706964560630107
32,32,.3,.6,1,1,.67826148776065860618,0.634942347979899,0.5288186884333137
256,256,.3,.6,1,1,.67826148776065860618,0.634942347979899,0.5337122445818575
32,32,.3,.8,1,1,.70440474841517856563,0.6530352176213904,0.6158039121681104
256,256,.3,.8,1,1,.70440474841517856563,0.6530352176213904,0.6358727571090363
32,32,.5,.2,1,1,.45910855030021704440,0.49787224805985003,0.32607456746046926
256,256,.5,.2,1,1,.45910855030021704440,0.49787224805985003,0.3553211509371186
32,32,.5,.4,1,1,.50788078736589996887,0.5254762333540337,0.33269040757263324
256,256,.5,.4,1,1,.50788078736589996887,0.5254762333540337,0.35454456815046254
32,32,.5,.6,1,1,.54722580589161206446,0.5491797069017855,0.5329796251013129
256,256,.5,.6,1,1,.54722580589161206446,0.5491797069017855,0.5496433535438905
32,32,.5,.8,1,1,.58005694572596805271,0.7063824556187426,0.9242152632009656
256,256,.5,.8,1,1,.58005694572596805271,0.7063824556187426,0.9170528039525495
32,32,.7,.2,1,1,.35993022178322912836,0.4481573366572086,0.4420311750750834
256,256,.7,.2,1,1,.35993022178322912836,0.4481573366572086,0.4420724513987834
32,32,.7,.4,1,1,.39464171510821837900,0.46524830168819364,0.5543194812148184
256,256,.7,.4,1,1,.39464171510821837900,0.46524830168819364,0.5684285968084145
32,32,.7,.6,1,1,.44273158370074163754,0.6048826063857671,0.7503394687401843
256,256,.7,.6,1,1,.44273158370074163754,0.6048826063857671,0.7791586071784311
32,32,.7,.8,1,1,.48144147705363546477,0.8814025685105046,0.9999984809268566
256,256,.7,.8,1,1,.48144147705363546477,0.8814025685105046,1.000000732744276
32,32,.9,.2,1,1,.37490605826310276621,0.6801913076366277,0.6169466512012302
256,256,.9,.2,1,1,.37490605826310276621,0.6801913076366277,0.6200968418342448
32,32,.9,.4,1,1,.35992310174376965321,0.6696346018302595,0.730084781240665
256,256,.9,.4,1,1,.35992310174376965321,0.6696346018302595,0.7440965797999648
32,32,.9,.6,1,1,.35993271378415259001,0.7359553117472455,0.9040031795427181
256,256,.9,.6,1,1,.35993271378415259001,0.7359553117472455,0.9154969966845516
32,32,.9,.8,1,1,.39885713076418611038,1.0018669477695832,0.9999999998012958
256,256,.9,.8,1,1,.39885713076418611038,1.0018669477695832,0.9999999997669404
32,32,.1,.2,2,2,.68604667676400564357,0.6308839476687125,0.5846644803149604
256,256,.1,.2,2,2,.68604667676400564357,0.6308839476687125,0.586544444764652
32,32,.1,.4,2,2,.72115345799673599811,0.6642018500219775,0.6231309071602197
256,256,.1,.4,2,2,.72115345799673599811,0.6642018500219775,0.6241242981782037
32,32,.1,.6,2,2,.74921291721139373766,0.691321964542255,0.6542706923106956
256,256,.1,.6,2,2,.74921291721139373766,0.691321964542255,0.6553454106357245
32,32,.1,.8,2,2,.77214994271399610674,0.7137647254192531,0.6807351644214132
256,256,.1,.8,2,2,.77214994271399610674,0.7137647254192531,0.68157255556425
32,32,.3,.2,2,2,.36973646807405554991,0.36109441771066886,0.2860272750611111
256,256,.3,.2,2,2,.36973646807405554991,0.36109441771066886,0.2788811180452625
32,32,.3,.4,2,2,.41835146606398883001,0.40028729967621585,0.32601986556233353
256,256,.3,.4,2,2,.41835146606398883001,0.40028729967621585,0.3225994008010211
32,32,.3,.6,2,2,.46003864577930204423,0.4340657688679331,0.36138367501070007
256,256,.3,.6,2,2,.46003864577930204423,0.4340657688679331,0.36027794677978514
32,32,.3,.8,2,2,.49618604958985100997,0.46344435374583415,0.3934675038596137
256,256,.3,.8,2,2,.49618604958985100997,0.46344435374583415,0.392573923860834
32,32,.5,.2,2,2,.21078066095876692397,0.23635811873884888,0.1650179717462023
256,256,.5,.2,2,2,.21078066095876692397,0.23635811873884888,0.14022971835872414
32,32,.5,.4,2,2,.25794289417540649744,0.2724920044420391,0.1967026219972138
256,256,.5,.4,2,2,.25794289417540649744,0.2724920044420391,0.17503289024198007
32,32,.5,.6,2,2,.29945608263372428524,0.30504531607949215,0.22230101488376397
256,256,.5,.6,2,2,.29945608263372428524,0.30504531607949215,0.20803599635067502
32,32,.5,.8,2,2,.33646606028493864717,0.35724741783601255,0.43050158023462
256,256,.5,.8,2,2,.33646606028493864717,0.35724741783601255,0.44853403701110395
32,32,.7,.2,2,2,.12954976455292450814,0.16493696302742872,0.1299683729588539
256,256,.7,.2,2,2,.12954976455292450814,0.16493696302742872,0.13169904639053912
32,32,.7,.4,2,2,.15574208330355619838,0.19621712046319512,0.14539178968752067
256,256,.7,.4,2,2,.15574208330355619838,0.19621712046319512,0.13486764632173617
32,32,.7,.6,2,2,.19601125520616679842,0.22531252263873885,0.27250345564344797
256,256,.7,.6,2,2,.19601125520616679842,0.22531252263873885,0.27610930526779587
32,32,.7,.8,2,2,.23178589582758620376,0.4722211830822103,0.6520347274363127
256,256,.7,.8,2,2,.23178589582758620376,0.4722211830822103,0.6498265151995786
32,32,.9,.2,2,2,.14074867123855937035,0.19205238316444181,0.1729756930337204
256,256,.9,.2,2,2,.14074867123855937035,0.19205238316444181,0.17243542070689455
32,32,.9,.4,2,2,.12960000000000043200,0.17634432687523002,0.2382548015192923
256,256,.9,.4,2,2,.12960000000000043200,0.17634432687523002,0.24470124711115204
32,32,.9,.6,2,2,.12960000000000103680,0.29654960348670467,0.4079647046628599
256,256,.9,.6,2,2,.12960000000000103680,0.29654960348670467,0.4208427876711365
32,32,.9,.8,2,2,.16131465507829833349,0.5492293485476657,0.8452108327056462
256,256,.9,.8,2,2,.16131465507829833349,0.5492293485476657,0.8869151856025097
32,32,.1,.2,3,3,.57172523060949660491,0.5202969726571425,0.49009202845910865
256,256,.1,.2,3,3,.57172523060949660491,0.5202969726571425,0.49348854071872583
32,32,.1,.4,3,3,.61570409679640542487,0.5599687739600439,0.5321562696197673
256,256,.1,.4,3,3,.61570409679640542487,0.5599687739600439,0.534813023151562
32,32,.1,.6,3,3,.65160433721540893480,0.5929147902578186,0.5659763707399824
256,256,.1,.6,3,3,.65160433721540893480,0.5929147902578186,0.5689533502679315
32,32,.1,.8,3,3,.68143530691309760094,0.6206713348283499,0.5960804625923471
256,256,.1,.8,3,3,.68143530691309760094,0.6206713348283499,0.5991817674002031
32,32,.3,.2,3,3,.22807166369161333076,0.22271028766301093,0.20922283405923886
256,256,.3,.2,3,3,.22807166369161333076,0.22271028766301093,0.1974738020557668
32,32,.3,.4,3,3,.27409601762035178734,0.2622995757818877,0.24191455166853346
256,256,.3,.4,3,3,.27409601762035178734,0.2622995757818877,0.23376444403998642
32,32,.3,.6,3,3,.31569347954492297402,0.29797131106595487,0.27153399114190274
256,256,.3,.6,3,3,.31569347954492297402,0.29797131106595487,0.2680671490127468
32,32,.3,.8,3,3,.35327646834774930566,0.3300577388809651,0.3007061901621525
256,256,.3,.8,3,3,.35327646834774930566,0.3300577388809651,0.30005297008575077
32,32,.5,.2,3,3,.09874778086911644797,0.11408559966155192,0.103248477168561
256,256,.5,.2,3,3,.09874778086911644797,0.11408559966155192,0.10495253571511579
32,32,.5,.4,3,3,.13341787367629710287,0.14097709947563153,0.13377991016885452
256,256,.5,.4,3,3,.13341787367629710287,0.14097709947563153,0.1297057057556056
32,32,.5,.6,3,3,.16663133822140960021,0.16972316292272807,0.15690532208517488
256,256,.5,.6,3,3,.16663133822140960021,0.16972316292272807,0.15130671934730527
32,32,.5,.8,3,3,.19820545666693834104,0.23687055299909668,0.24656519275447822
256,256,.5,.8,3,3,.19820545666693834104,0.23687055299909668,0.24991566026555817
32,32,.7,.2,3,3,.04665600000000027993,0.09136831570769116,0.06299052651279655
256,256,.7,.2,3,3,.04665600000000027993,0.09136831570769116,0.07076219310547252
32,32,.7,.4,3,3,.06289819674901444184,0.09903549952227667,0.06259309330812918
256,256,.7,.4,3,3,.06289819674901444184,0.09903549952227667,0.08203741401319876
32,32,.7,.6,3,3,.08861435637443893149,0.13839588828704116,0.12482706960900022
256,256,.7,.6,3,3,.08861435637443893149,0.13839588828704116,0.13039251010779684
32,32,.7,.8,3,3,.11376756120781125043,0.35142220999060264,0.39007328266224317
256,256,.7,.8,3,3,.11376756120781125043,0.35142220999060264,0.40322366158549694
32,32,.9,.2,3,3,.05280395536402385495,0.09749532854242049,0.09632732268820579
256,256,.9,.2,3,3,.05280395536402385495,0.09749532854242049,0.10164002594844418
32,32,.9,.4,3,3,.04665600000000023328,0.12498688944213025,0.10141558880123261
256,256,.9,.4,3,3,.04665600000000023328,0.12498688944213025,0.10741462766549673
32,32,.9,.6,3,3,.04665600000000055987,0.1914524953480678,0.20013147191397104
256,256,.9,.6,3,3,.04665600000000055987,0.1914524953480678,0.23300892946309107
32,32,.9,.8,3,3,.06479041113300072669,0.43725462509475127,0.5020452869960423
256,256,.9,.8,3,3,.06479041113300072669,0.43725462509475127,0.530426709559428
32,32,.1,.2,4,4,.47451485310531204786,0.4366475178248076,0.4238897880765718
256,256,.1,.2,4,4,.47451485310531204786,0.4366475178248076,0.4254801300131391
32,32,.1,.4,4,4,.52379665954831578043,0.4767699423721559,0.46589947920153346
256,256,.1,.4,4,4,.52379665954831578043,0.4767699423721559,0.46818438000543033
32,32,.1,.6,4,4,.56490916649295368597,0.51226829176962,0.501607152973628
256,256,.1,.6,4,4,.56490916649295368597,0.51226829176962,0.5043937083104075
32,32,.1,.8,4,4,.59965230716439779228,0.5436296271397447,0.5341712267355635
256,256,.1,.8,4,4,.59965230716439779228,0.5436296271397447,0.5358252381084945
32,32,.3,.2,4,4,.13934619278954036565,0.1527022950159262,0.16337385067524468
256,256,.3,.2,4,4,.13934619278954036565,0.1527022950159262,0.14967541433556894
32,32,.3,.4,4,4,.17804794584545178387,0.18905877324169687,0.19249420869341224
256,256,.3,.4,4,4,.17804794584545178387,0.18905877324169687,0.18093624937677505
32,32,.3,.6,4,4,.21495826554204574876,0.2221954367976856,0.21876547456782983
256,256,.3,.6,4,4,.21495826554204574876,0.2221954367976856,0.2116138944460772
32,32,.3,.8,4,4,.24973894929167416150,0.25240598620499155,0.2435879711468569
256,256,.3,.8,4,4,.24973894929167416150,0.25240598620499155,0.2408697022697353
32,32,.5,.2,4,4,.04564253873939672734,0.0894677897882791,0.0764390164583014
256,256,.5,.2,4,4,.04564253873939672734,0.0894677897882791,0.07852917438693797
32,32,.5,.4,4,4,.06817398590818259588,0.10280357703663867,0.09797236968518724
256,256,.5,.4,4,4,.06817398590818259588,0.10280357703663867,0.09558797664582136
32,32,.5,.6,4,4,.09169427961713318459,0.11810190300093126,0.11681828805462255
256,256,.5,.6,4,4,.09169427961713318459,0.11810190300093126,0.11025584408680893
32,32,.5,.8,4,4,.11556353252097316127,0.20631124600998335,0.15933894281288588
256,256,.5,.8,4,4,.11556353252097316127,0.20631124600998335,0.17331982024557938
32,32,.7,.2,4,4,.01679616000000013436,0.07675718163244766,0.053144197722414147
256,256,.7,.2,4,4,.01679616000000013436,0.07675718163244766,0.04922339479814689
32,32,.7,.4,4,4,.02501406416658685838,0.07955075984111482,0.058863650094452054
256,256,.7,.4,4,4,.02501406416658685838,0.07955075984111482,0.06045991317364262
32,32,.7,.6,4,4,.03950682390562281671,0.13038903732623888,0.06932651692439001
256,256,.7,.6,4,4,.03950682390562281671,0.13038903732623888,0.06845277314279015
32,32,.7,.8,4,4,.05512618410423979956,0.27139506382003925,0.29966743037365184
256,256,.7,.8,4,4,.05512618410423979956,0.27139506382003925,0.3109041778590028
32,32,.9,.2,4,4,.01981018845542006972,0.07804872847296018,0.07437479572108158
256,256,.9,.2,4,4,.01981018845542006972,0.07804872847296018,0.07531820545072421
32,32,.9,.4,4,4,.01679616000000011197,0.1079576404548952,0.052793722177434596
256,256,.9,.4,4,4,.01679616000000011197,0.1079576404548952,0.051537350368040975
32,32,.9,.6,4,4,.01679616000000026873,0.1750981591802234,0.14829361802755325
256,256,.9,.6,4,4,.01679616000000026873,0.1750981591802234,0.13792250002479023
32,32,.9,.8,4,4,.02602241794303036231,0.3470771842634078,0.42235981446152043
256,256,.9,.8,4,4,.02602241794303036231,0.3470771842634078,0.4275104434931534
32,32,.1,.2,5,5,.39383314529868815806,0.38362758527140006,0.3720998396031613
256,256,.1,.2,5,5,.39383314529868815806,0.38362758527140006,0.3766580269475413
32,32,.1,.4,5,5,.44560843752952595594,0.42353505261023217,0.41340447387257384
256,256,.1,.4,5,5,.44560843752952595594,0.42353505261023217,0.41778079329004164
32,32,.1,.6,5,5,.48974868361299354769,0.4577755721502267,0.44936873073992883
256,256,.1,.6,5,5,.48974868361299354769,0.4577755721502267,0.4547369001841345
32,32,.1,.8,5,5,.52768455910583208740,0.4894497878579165,0.4818751594126046
256,256,.1,.8,5,5,.52768455910583208740,0.4894497878579165,0.4873417285966757
32,32,.3,.2,5,5,.08513710616499426246,0.12458832103825052,0.13465692714170585
256,256,.3,.2,5,5,.08513710616499426246,0.12458832103825052,0.12558629930205947
32,32,.3,.4,5,5,.11565680995662560966,0.15128266634726056,0.1615355972282475
256,256,.3,.4,5,5,.11565680995662560966,0.15128266634726056,0.1504809782664906
32,32,.3,.6,5,5,.14636683656391268323,0.1807669027654254,0.1856113060758761
256,256,.3,.6,5,5,.14636683656391268323,0.1807669027654254,0.1770248904163107
32,32,.3,.8,5,5,.17654598701410152733,0.20810595508068533,0.20593024810835783
256,256,.3,.8,5,5,.17654598701410152733,0.20810595508068533,0.20335732807630338
32,32,.5,.2,5,5,.02109658894855092990,0.07350343329257426,0.05872841161830135
256,256,.5,.2,5,5,.02109658894855092990,0.07350343329257426,0.06417984813929192
32,32,.5,.4,5,5,.03483560505457811028,0.08454987834952848,0.07320215217857205
256,256,.5,.4,5,5,.03483560505457811028,0.08454987834952848,0.07742606205869094
32,32,.5,.6,5,5,.05045774104828455452,0.09727040712633939,0.09374540842530124
256,256,.5,.6,5,5,.05045774104828455452,0.09727040712633939,0.09354929060714776
32,32,.5,.8,5,5,.06737922493812800470,0.18544014280076265,0.09803293997832915
256,256,.5,.8,5,5,.06737922493812800470,0.18544014280076265,0.11828323875920056
32,32,.7,.2,5,5,.00604661760000006046,0.06391476825767925,0.04519370812555164
256,256,.7,.2,5,5,.00604661760000006046,0.06391476825767925,0.03818327693907009
32,32,.7,.4,5,5,.00994787511360457105,0.06560823035423802,0.04714955789584918
256,256,.7,.4,5,5,.00994787511360457105,0.06560823035423802,0.042646015427791624
32,32,.7,.6,5,5,.01761327621130366443,0.10755913926738556,0.043929104295579266
256,256,.7,.6,5,5,.01761327621130366443,0.10755913926738556,0.05206126268049627
32,32,.7,.8,5,5,.02671144693295834622,0.2609932573696391,0.20853492140896324
256,256,.7,.8,5,5,.02671144693295834622,0.2609932573696391,0.22582445715110674
32,32,.9,.2,5,5,.00743208655362655714,0.0701439726284531,0.05570930544825756
256,256,.9,.2,5,5,.00743208655362655714,0.0701439726284531,0.04987409927640722
32,32,.9,.4,5,5,.00604661760000005038,0.08541834989883276,0.042632866821600085
256,256,.9,.4,5,5,.00604661760000005038,0.08541834989883276,0.037397771608529536
32,32,.9,.6,5,5,.00604661760000012093,0.15218572363917893,0.05204023505727311
256,256,.9,.6,5,5,.00604661760000012093,0.15218572363917893,0.07504155572484061
32,32,.9,.8,5,5,.01045164282430115256,0.3162904148913205,0.31247699466760237
256,256,.9,.8,5,5,.01045164282430115256,0.3162904148913205,0.326795951335682
